City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.11,76,91,9.01,TF,1697565212
1,east london,-33.0153,27.9116,18.52,82,0,6.69,ZA,1697565213
2,hawaiian paradise park,19.5933,-154.9731,24.94,78,0,3.6,US,1697565213
3,lisala,2.15,21.5167,25.41,73,85,0.37,CD,1697565213
4,keflavik,64.0049,-22.5624,10.24,93,100,13.89,IS,1697565213
5,dubovka,49.0583,44.829,10.29,45,9,5.51,RU,1697565214
6,puerto ayora,-0.7393,-90.3518,31.98,85,98,4.02,EC,1697565214
7,nadym,65.5333,72.5167,6.33,96,100,5.34,RU,1697565214
8,ribeira grande,38.5167,-28.7,22.22,83,75,7.6,PT,1697565214
9,polyarnyy,69.1989,33.4478,2.41,71,96,6.51,RU,1697565214
10,takum,7.2667,9.9833,25.06,85,92,1.16,NG,1697565215
11,waitangi,-43.9535,-176.5597,9.57,69,81,4.77,NZ,1697565215
12,saint-jorioz,45.8333,6.1667,15.15,67,100,1.54,FR,1697565215
13,vallenar,-28.5708,-70.7581,23.66,21,87,4.8,CL,1697565216
14,dudinka,69.4058,86.1778,-0.18,98,99,2.68,RU,1697565216
15,lebu,-37.6167,-73.65,14.03,66,0,6.86,CL,1697565216
16,ponta delgada,37.7333,-25.6667,23.44,78,40,7.2,PT,1697565164
17,hermanus,-34.4187,19.2345,18.05,77,0,1.81,ZA,1697565217
18,igarka,67.4667,86.5833,0.7,87,100,5.72,RU,1697565217
19,sumbe,-11.2061,13.8437,23.91,82,94,2.38,AO,1697565217
20,touros,-5.1989,-35.4608,27.94,58,86,8.7,BR,1697565218
21,alofi,-19.0595,-169.9187,21.94,78,63,6.17,NU,1697565218
22,utrik,11.2278,169.8474,28.23,77,53,7.74,MH,1697565218
23,adamstown,-25.066,-130.1015,21.94,89,82,3.92,PN,1697565218
24,grinnell,41.743,-92.7224,17.99,53,0,2.57,US,1697565219
25,papao,-17.75,-149.55,26.82,82,90,8.04,PF,1697565219
26,port mathurin,-19.6833,63.4167,24.09,85,4,5.38,MU,1697565219
27,nemuro,43.3236,145.575,10.53,75,100,10.03,JP,1697565219
28,hami,42.8,93.45,8.45,52,0,2.02,CN,1697565220
29,bredasdorp,-34.5322,20.0403,16.91,83,0,1.74,ZA,1697565220
30,blackmans bay,-43.0167,147.3167,7.07,86,48,1.75,AU,1697565220
31,thompson,55.7435,-97.8558,9.09,81,75,1.54,CA,1697565220
32,grytviken,-54.2811,-36.5092,2.29,84,99,4.57,GS,1697565221
33,bakchar,57.0186,82.0711,10.7,90,95,2.37,RU,1697565221
34,flin flon,54.7682,-101.865,11.91,76,40,1.54,CA,1697565221
35,moapa valley,36.5805,-114.4703,28.08,13,72,0.58,US,1697564958
36,puerto natales,-51.7236,-72.4875,12.25,54,100,10.29,CL,1697565222
37,tsiombe,-25.3,45.4833,22.43,86,100,5.46,MG,1697565222
38,cidade velha,14.9167,-23.6167,31.26,58,20,8.23,CV,1697565222
39,margaret river,-33.95,115.0667,15.3,87,99,3.55,AU,1697565222
40,longyearbyen,78.2186,15.6401,-4.09,58,0,5.14,SJ,1697565222
41,las heras,-46.5419,-68.9359,18.91,27,2,3.07,AR,1697565038
42,ghatanji,20.1333,78.3167,24.08,69,31,0.36,IN,1697565223
43,dubrovka,53.6907,33.5071,3.68,65,34,5.15,RU,1697565223
44,avarua,-21.2078,-159.775,22.03,73,75,3.09,CK,1697565224
45,northam,51.0333,-4.2167,12.56,68,100,12.76,GB,1697565224
46,newman,37.3138,-121.0208,23.91,53,0,3.58,US,1697565224
47,san patricio,28.017,-97.5169,23.97,30,0,1.44,US,1697565224
48,albany,42.6001,-73.9662,15.45,67,100,0.89,US,1697565224
49,iqaluit,63.7506,-68.5145,-1.15,58,100,2.06,CA,1697565224
50,qaqortoq,60.7167,-46.0333,0.56,56,36,6.16,GL,1697565225
51,ushuaia,-54.8,-68.3,13.79,51,0,3.58,AR,1697565225
52,pocito,-31.6833,-68.5833,24.43,16,2,2.78,AR,1697565225
53,kiruna,67.8557,20.2251,-2.49,93,75,1.54,SE,1697565200
54,greymouth,-42.4667,171.2,5.09,94,67,2.94,NZ,1697565225
55,tiksi,71.6872,128.8694,-16.23,100,88,0.81,RU,1697565226
56,esperanza,19.5847,-70.9849,33.32,71,14,0.89,DO,1697565226
57,kingston,17.997,-76.7936,32.53,69,20,4.12,JM,1697564985
58,sitka,57.0531,-135.33,12.94,62,100,5.66,US,1697564952
59,constantia,44.1833,28.65,11.5,56,100,3.6,RO,1697565226
60,ban chang,12.7254,101.0553,25.77,89,75,1.54,TH,1697565227
61,isafjordur,66.0755,-23.124,5.21,93,100,6.46,IS,1697565227
62,cururupu,-1.8283,-44.8683,31.11,54,85,3.68,BR,1697565227
63,kerewan,13.4898,-16.0888,29.85,70,9,3.83,GM,1697565227
64,port elizabeth,-33.918,25.5701,18.16,89,0,8.23,ZA,1697565227
65,college,64.8569,-147.8028,0.6,85,100,1.54,US,1697565228
66,tahe,52.3333,124.7333,0.5,90,44,1.57,CN,1697565228
67,kerikeri,-35.2268,173.9474,17.17,94,88,1.34,NZ,1697565228
68,rio grande,-32.035,-52.0986,23.06,69,100,8.94,BR,1697565228
69,west island,-12.1568,96.8225,25.99,89,75,7.2,CC,1697565228
70,tolanaro,-25.0319,46.9987,23.04,83,75,6.17,MG,1697565229
71,yellowknife,62.456,-114.3525,0.29,100,100,3.09,CA,1697565229
72,anar darah,32.7587,61.654,20.4,22,75,1.25,AF,1697565229
73,tralee,52.2704,-9.7026,10.91,93,100,9.54,IE,1697565229
74,mpongwe,-13.5091,28.155,18.95,88,89,2.65,ZM,1697565229
75,hammerfest,70.6634,23.6821,0.25,86,75,2.57,NO,1697565230
76,luderitz,-26.6481,15.1594,19.04,68,3,4.71,NA,1697565230
77,new norfolk,-42.7826,147.0587,7.72,93,57,1.51,AU,1697565230
78,papatowai,-46.5619,169.4708,4.75,79,75,4.29,NZ,1697565230
79,bethel,41.3712,-73.414,16.42,65,100,3.6,US,1697565144
80,oranjemund,-28.55,16.4333,20.38,61,3,5.99,NA,1697564986
81,kapa'a,22.0752,-159.319,22.99,80,0,3.6,US,1697565231
